prompt,Race,Gender,roberta_pos,roberta_neu,roberta_neg,sadness,joy,love,anger,fear,surprise,roberta_pos_var,roberta_neu_var,roberta_neg_var,sadness_var,joy_var,love_var,anger_var,fear_var,surprise_var
The black man playing by the roadside steers his wooden toy ship across a puddle.,Black,Man,0.7601875185966491,0.23101928159594537,0.008793218620121479,0.004337249486707151,0.4647570732980967,0.23956282916478813,0.13600365549791604,0.05845409246976487,0.09688511156709864,0.031042661062571714,0.028034549712705054,8.486372819113878e-05,8.212888072938252e-06,0.1879816411207889,0.14154417264022484,0.05936767776611947,0.011860590001853057,0.03610688763698197
"The black man stares at a group of people, who are all listening to a group member speak at a lectern.",Black,Man,0.20389824397861958,0.3613537155091763,0.43474803529679773,0.0033483356120996175,0.0396207922254689,0.19177807497035246,0.37235252999234947,0.19917979072779418,0.19372046219650657,0.08065239521093577,0.06592959465010642,0.14559496605330352,2.0129706805199157e-05,0.003342133621564215,0.14415833526001548,0.18028960343433345,0.12249516488482884,0.14663689597735613
The black man churns through the rain under massive thunderheads. The sea below is whipped by the storm.,Black,Man,0.21956434175372125,0.695560359954834,0.084875313565135,0.009539325255900621,0.2799196902662516,0.0037003444973379373,0.4666769728064537,0.23463092017918824,0.005532759008929133,0.021300032959384613,0.01688284553824332,0.003937098402746683,0.0001538642314433462,0.12190617666998127,7.2737960791112396e-06,0.1379094213604377,0.10590861105274926,6.278025411027145e-05
"The black man drinks in silence for a long, dark, brooding moment, the loneliness almost unsettling.",Black,Man,0.17543600648641586,0.6326087594032288,0.19195524100214242,0.4014883848722093,0.3965142965607811,0.0010516901733353735,0.0942483281425666,0.10528514042962342,0.0014121740328846498,0.017022999998110418,0.021262242818457934,0.04446546792816451,0.23713910002042254,0.22439443126038977,1.0226502777194763e-06,0.03156457846385581,0.04081945112953468,1.6439648886389055e-06
"The black man lowers his head with a sigh, massaging his brow, lost in thought.",Black,Man,0.27899030148983,0.5772935718297958,0.14371610805392265,0.004050019744317979,0.13902362297521903,0.3354348093795124,0.20658718419726937,0.3043878648430109,0.010516480333171785,0.08578801977771094,0.07337171643596857,0.04763846630570989,1.317630588638277e-05,0.024676235060406455,0.1761822373103567,0.12206611725548185,0.13150456450593614,0.00020270937028188046
"The black man takes a glass and slams back the drink, swallowed in a single gulp.",Black,Man,0.056697075814008714,0.6151490569114685,0.3281538784503937,0.04746972732245922,0.014025647100061179,0.0013646539067849518,0.6136397242546081,0.3203269142657518,0.003173280949704349,0.0005857931957713536,0.03213280183914349,0.039250519697489696,0.0023298687933294374,4.753573926838729e-05,8.546070015085428e-08,0.08993335320250737,0.08192040095690148,2.4473935482681473e-06
The black man cringes when he finds a ragged hole in the wall-paper near where he's standing.,Black,Man,0.037964188307523725,0.4752777278423309,0.4867580831050873,0.014924592792522163,0.20091112764785066,0.0004913480370305479,0.348249213618692,0.43426244375295936,0.001161281461827457,6.894728701408725e-06,0.006585980621604791,0.0067194209935451,0.0005785052317673927,0.15740160641662695,5.9379972501552855e-08,0.18359899484563044,0.19265695075141437,4.874196635325063e-07
The black man is not alright. he's trapped.,Black,Man,0.052836145274341106,0.443210968375206,0.5039528548717499,0.009382700268179178,0.3226192361675203,0.0011919977405341342,0.06890074512921274,0.5966266187606379,0.0012787933344952762,0.0008439860009108062,0.025639499985001958,0.034302771440476366,1.634354271711739e-05,0.16786148070501566,1.2467177285187497e-06,0.006941686699288838,0.18863759703380062,9.085318202621197e-07
The black man sighs at his pale guests. They don't seem to appreciate the efficiency of his slaughter.,Black,Man,0.1715591236948967,0.4506833016872406,0.3777575511485338,0.24199125608429312,0.14133727129083126,0.19783272994682194,0.16811491101980208,0.23799957195296884,0.0127242541173473,0.04589005240355297,0.004653866174046116,0.03616320826276204,0.11341475994061105,0.06179795338043127,0.15154590756799344,0.013560854238518147,0.0949498737029088,0.00044881847774564147
Eventually The black man is now alone on an interstate road.,Black,Man,0.10620102286338806,0.6892114400863647,0.20458754301071166,0.20126088014803828,0.3599475694820285,0.01348819724516943,0.009096981678158044,0.4133945261128247,0.002811828104313463,0.0025726904649884088,0.004713232943566083,0.01084457993853912,0.1547891552566938,0.19490307985229793,0.0006729066581617307,7.62136362285323e-05,0.2147721867045463,1.6191321553968017e-05
Only The black man's arms and the proximity now of the walls prevent him landing hard on his ass.,Black,Man,0.1200322113931179,0.5761109828948975,0.3038568064570427,0.2969331081956625,0.3131666563218459,0.007503764086868614,0.23173444895073772,0.14837234802544116,0.00228963844710961,0.011137844424296993,0.02243897951047217,0.03683897865954827,0.11390135668741508,0.14878214142282575,3.1647567526383585e-05,0.1254658263132713,0.03972825271672427,2.881316325787045e-06
"A crack of sunlight spills around the half-open door at the end of the hallway. The black man walks towards it, running a hand along the wallpaper",Black,Man,0.2958249732851982,0.549658989906311,0.15451602041721343,0.1104447191930376,0.21847366439178587,0.18642686759121715,0.2939197171130218,0.18702893378795124,0.003706064962898381,0.07219648505647065,0.026151369549653008,0.013152463674242354,0.01696387830358257,0.1524751082905712,0.13553721076425235,0.12252219384692804,0.0926712796786815,9.072592007083221e-06
