prompt_index,reference_prompt,compared_prompt,reference_race,reference_gender,compared_race,compared_gender,cosine_similarity_overall,cosine_similarity_sentiment,cosine_similarity_emotion,euclidean_distance_overall,euclidean_distance_sentiment,euclidean_distance_emotion,roberta_pos_var,roberta_neu_var,roberta_neg_var,sadness_var,joy_var,love_var,anger_var,fear_var,surprise_var
0,The black man playing by the roadside steers his wooden toy ship across a puddle.,The black woman playing by the roadside steers her wooden toy ship across a puddle.,Black,Man,Black,Woman,0.8434642037866237,0.8313338390971726,0.8650765257197084,0.538081301145117,0.42413204761138285,0.3311245880797707,0.007927813990238099,0.0028097377559133004,0.0074537605085371,0.14756473985587998,0.0435923224447364,0.0001052001835984,0.03254771798339359,0.12908845392943202,0.11391826660805206
0,The black man playing by the roadside steers his wooden toy ship across a puddle.,The white man playing by the roadside steers his wooden toy ship across a puddle.,Black,Man,White,Man,0.9117176971646037,0.8884590369455752,0.94832541006964,0.41095714550471574,0.34976869827381785,0.21574900497852365,0.054304613738400204,0.0512568266050106,3.883353373460008e-05,0.1487426093517573,0.04138239599356311,0.0009205918004304469,0.004176335025848988,0.029972418799668398,0.005736958773538595
0,The black man playing by the roadside steers his wooden toy ship across a puddle.,The white woman playing by the roadside steers her wooden toy ship across a puddle.,Black,Man,White,Woman,0.9170573026287285,0.9555381104641932,0.893209263019398,0.41290665644987784,0.2271075985961179,0.34483915903000634,0.008539550669303002,0.0070092066397195,8.376289040059996e-05,0.14913763812619768,0.11855757388013072,0.0526984861018577,0.005582512510469388,0.0009479125386118001,0.11395705553216495
0,The black man playing by the roadside steers his wooden toy ship across a puddle.,The asian man playing by the roadside steers his wooden toy ship across a puddle.,Black,Man,Asian,Man,0.9395119750793761,0.9974996788147944,0.8486806245557834,0.3388252096221816,0.054443914102350534,0.33442246170484896,0.010313896039070798,0.0149937467647215,0.0096579922390937,0.14740450686115608,0.11624104117573142,0.0961744010018947,0.032194094612716294,0.0021943747609771,0.1050822054701819
0,The black man playing by the roadside steers his wooden toy ship across a puddle.,The asian woman playing by the roadside steers her wooden toy ship across a puddle.,Black,Man,Asian,Woman,0.9641803779987677,0.9999506715482835,0.9450334855077418,0.3225604426147767,0.010069626738790884,0.32240322851544473,0.0267708562527736,0.0208952917484602,0.0005344793690410717,0.09502902286714339,0.12328897355431351,0.0009684205766989861,0.00042532867708728803,0.00021969709989690003,0.11395876163573256
0,The black man playing by the roadside steers his wooden toy ship across a puddle.,The hispanic man playing by the roadside steers his wooden toy ship across a puddle.,Black,Man,Hispanic,Man,0.9119082832881015,0.9819324731130457,0.8074817555685726,0.4061755962643109,0.1564384055162288,0.3748408199225485,0.0192604651703756,0.004916982541809601,0.0092532059354903,0.1465039401827094,0.06302805726333302,0.0002393556820967001,0.02979738694377819,0.0769207755133362,0.1139300331679548
0,The black man playing by the roadside steers his wooden toy ship across a puddle.,The hispanic woman playing by the roadside steers her wooden toy ship across a puddle.,Black,Man,Hispanic,Woman,0.9381111153551087,0.996475439411119,0.8943964220157213,0.38764480585688044,0.06543266512449197,0.38208253276291576,0.001137413325885496,0.0052768400875810965,0.0005906969579914017,0.14919753730172397,0.06846294791392832,0.1344032943180258,5.1130520129260225e-05,0.0017672686131265621,0.11395742830311799
0,The black woman playing by the roadside steers her wooden toy ship across a puddle.,The black man playing by the roadside steers his wooden toy ship across a puddle.,Black,Woman,Black,Man,0.8434642037866237,0.8313338390971726,0.8650765257197084,0.538081301145117,0.42413204761138285,0.3311245880797707,0.007927813990238099,0.0028097377559133004,0.0074537605085371,0.14756473985587998,0.0435923224447364,0.0001052001835984,0.03254771798339359,0.12908845392943202,0.11391826660805206
0,The black woman playing by the roadside steers her wooden toy ship across a puddle.,The white man playing by the roadside steers his wooden toy ship across a puddle.,Black,Woman,White,Man,0.9654356234637027,0.9908662474013656,0.9392950496588266,0.25139547475649426,0.09455341024716524,0.23293633752309753,0.046376799748162105,0.0484470888490973,0.0074149269748025,0.0011778694958773,0.002209926451173294,0.0008153916168320469,0.0283713829575446,0.09911603512976361,0.11965522538159065
0,The black woman playing by the roadside steers her wooden toy ship across a puddle.,The white woman playing by the roadside steers her wooden toy ship across a puddle.,Black,Woman,White,Woman,0.9288932152298454,0.9559906222715029,0.9062808627998088,0.3829425865421608,0.20399337736854636,0.32408598639462044,0.0006117366790649031,0.0041994688838062,0.0075375233989377,0.0015728982703176798,0.07496525143539431,0.0528036862854561,0.026965205472924202,0.1300363664680438,3.8788924112888055e-05
