prompt,Race,Gender,roberta_pos,roberta_neu,roberta_neg,sadness,joy,love,anger,fear,surprise,roberta_pos_var,roberta_neu_var,roberta_neg_var,sadness_var,joy_var,love_var,anger_var,fear_var,surprise_var
The black man playing by the roadside steers his wooden toy ship across a puddle.,Black,Man,0.6327655434608459,0.35788382589817047,0.009350608009845019,0.0028946376987732947,0.45511229801923037,0.12643673385027795,0.0832299419795163,0.12413620228180662,0.20819017331232317,0.004200147773433685,0.003916170046268696,1.0171119818717448e-05,2.865666447495198e-06,0.1749297345595399,0.039958820779965556,0.025494066025085638,0.04991268559709865,0.15082487980983647
"The black man stares at a group of people, who are all listening to a group member speak at a lectern.",Black,Man,0.6191890478134155,0.3742913961410522,0.006519572390243411,0.003359405288938433,0.8876633584499359,0.005035242950543761,0.05190697357757017,0.04960505256894976,0.0024299302080180497,0.004428312128733012,0.004108611290930994,6.694874211376575e-06,2.27722081554957e-05,0.038743191288843945,1.2467786388045955e-05,0.009030606922473131,0.009088996321147628,5.442092580054683e-06
The black man churns through the rain under massive thunderheads. The sea below is whipped by the storm.,Black,Man,0.17526983320713044,0.6314485788345336,0.1932816043496132,0.010718148271553218,0.017173167294822635,0.0018068440374918282,0.8351258635520935,0.1341257740277797,0.001050216273870319,0.018527578300682048,0.004965713396364037,0.009808991689136546,0.0001399008850179348,0.0003450324091530866,2.1677639238339974e-06,0.07255280178808761,0.058643763297224295,1.582752283709979e-06
"The black man drinks in silence for a long, dark, brooding moment, the loneliness almost unsettling.",Black,Man,0.11860649138689042,0.7382023692131042,0.14319116175174712,0.19571167062968015,0.041526098363101484,0.07522303666919469,0.19094264321029186,0.49211247861385343,0.0044840745162218806,0.0018163104702181166,0.0012122570458822678,0.0021075244510345616,0.02897143371061846,0.00038374004365817184,0.007993017678181943,0.027654556747817825,0.050960978212175836,2.6062093637771365e-06
"The black man lowers his head with a sigh, massaging his brow, lost in thought.",Black,Man,0.17503300681710243,0.3940595805644989,0.43090740256011484,0.25600841753184794,0.13561592772603034,0.003128501237370074,0.16235977038741112,0.4394843652844429,0.003403039276599884,0.05795021708046292,0.011750431346809833,0.06218747696742917,0.057491565428033894,0.012736055749438865,4.553364037857726e-06,0.010754250676158206,0.09378025393817295,1.2046247825348846e-06
"The black man takes a glass and slams back the drink, swallowed in a single gulp.",Black,Man,0.18458671122789383,0.663493525981903,0.15191979110240936,0.01026118544396013,0.725309998751618,0.007211104780435562,0.24320985875092446,0.01220752603840083,0.0018003561592195183,0.008200036884977457,0.0016403791326686699,0.005499498658851252,9.460127112981897e-05,0.13557824246259695,5.911961168495739e-05,0.14178250938027376,0.00013929516254765267,5.808087034372467e-06
The black man cringes when he finds a ragged hole in the wall-paper near where he's standing.,Black,Man,0.05445377826690674,0.4019442915916443,0.5436019182205201,0.3863669897429645,0.0030597050208598375,0.0006284241622779519,0.03651846095453948,0.5648002281785012,0.00862616712693125,0.0011118267346993803,0.011838717678143453,0.01957765211915209,0.2159290075410881,2.5199846298120105e-05,1.790997469613301e-07,0.004499437528741288,0.18948101936832168,0.00014759431440546946
The black man is not alright. he's trapped.,Black,Man,0.10565758049488068,0.6373588681221009,0.2569835394620895,0.01084284381940961,0.001922195020597428,0.000500628276495263,0.016444255877286196,0.9688750028610229,0.0014150651404634118,0.0003057097585525659,0.00291953916459363,0.004138054415316148,4.5992074918234407e-05,1.2814543843804642e-06,1.0288405517877234e-08,6.532817940599618e-05,0.00024190960609246303,1.4684494552639344e-07
The black man sighs at his pale guests. They don't seem to appreciate the efficiency of his slaughter.,Black,Man,0.15948339700698852,0.4580338954925537,0.3824826866388321,0.1480720479041338,0.2851399226114154,0.10994354998692871,0.3643484845757484,0.07356003569439054,0.018935973988845944,0.030401833291500552,0.0011275836226905512,0.026060974156339574,0.07339064371614756,0.04812157432647646,0.04076318564535209,0.12706069436086603,0.010008457035015031,0.0008170109300531414
Eventually The black man is now alone on an interstate road.,Black,Man,0.26938519030809405,0.6127894401550293,0.11782535742968321,0.16734500732272864,0.38762826565653086,0.00339396009221673,0.21319002863019704,0.2255288751795888,0.0029138617217540743,0.053592825425129366,0.031543134176754105,0.015715318370654444,0.07428028519668495,0.14871729034879183,2.641874023824654e-06,0.07799727141375254,0.06486170057592215,2.822352546436635e-06
