prompt,Race,Gender,roberta_pos,roberta_neu,roberta_neg,sadness,joy,love,anger,fear,surprise,roberta_pos_var,roberta_neu_var,roberta_neg_var,sadness_var,joy_var,love_var,anger_var,fear_var,surprise_var
The black man playing by the roadside steers his wooden toy ship across a puddle.,Black,Man,0.5092072069644928,0.4685509026050568,0.022241862118244173,0.1369250644929707,0.21106967004016042,0.42551876709330827,0.02778686481760815,0.19216786832548677,0.0065317957429215315,0.019318038185313073,0.016972274856551763,0.0002429481874019401,0.0675226430750416,0.1393745106881687,0.19021937545605935,0.0010609092828873427,0.12839492545634185,1.324650915564543e-05
"The black man stares at a group of people, who are all listening to a group member speak at a lectern.",Black,Man,0.2068557932972908,0.5873311877250671,0.20581299923360347,0.011481578182429075,0.3813405498862267,0.0045102376258000735,0.4358663007616997,0.16167643815279006,0.005124901398085057,0.03384271004947078,0.014878115958014462,0.02353001931541395,2.5692107114059332e-05,0.0985679984594755,5.4067947146008874e-06,0.12875069020176372,0.03690035272719215,1.0918435290345335e-05
The black man churns through the rain under massive thunderheads. The sea below is whipped by the storm.,Black,Man,0.1226506307721138,0.5763087689876556,0.3010405957698822,0.0053354572621174155,0.16170247849076985,0.0023484948265831917,0.8033565402030944,0.026411997992545365,0.0008449719287455082,0.002800920388173278,0.004236059386801685,0.012968927145151863,1.5077508178877501e-05,0.08925701952588914,4.101648766080879e-06,0.0954438265471984,0.00017738760869207248,2.7346110559086684e-07
"The black man drinks in silence for a long, dark, brooding moment, the loneliness almost unsettling.",Black,Man,0.06533078253269195,0.574248206615448,0.3604210138320923,0.5833466351032257,0.13794843847863375,0.00497040394693613,0.04320672049652785,0.22770359516143798,0.0028241871390491725,3.917023754439253e-05,0.000684747055148307,0.0010029277029380522,0.0718114301746624,0.05859630651657309,3.29749528593363e-05,0.0009275974058890175,0.042290191186440465,1.4257877585491546e-06
"The black man lowers his head with a sigh, massaging his brow, lost in thought.",Black,Man,0.2560888558626175,0.5304862082004547,0.21342493668198587,0.4249779819510877,0.09533585919125472,0.003471735803759657,0.3293940248549916,0.14554451919975692,0.0012758970231516286,0.01830952972495762,0.0037416644686898335,0.03341620302418948,0.19606553530654,0.015952914117375407,1.3354831923588072e-05,0.16788302017204484,0.05794125206336513,1.734228594232372e-06
"The black man takes a glass and slams back the drink, swallowed in a single gulp.",Black,Man,0.09286269396543503,0.565376079082489,0.3417612314224243,0.37959651481360196,0.010544543177820742,0.0038103997823782263,0.31420419868081806,0.2891248321626335,0.002719516449724324,0.0035886203993513084,0.006409210593045033,0.011869653191211072,0.14247328118027006,0.00011994643485114075,7.766984177717875e-06,0.1468758306289391,0.09745619112413437,3.4943911287855705e-06
The black man cringes when he finds a ragged hole in the wall-paper near where he's standing.,Black,Man,0.06936091631650924,0.48533385545015334,0.44530521184206007,0.02921066451817751,0.0015711197978816927,0.0005208794551435858,0.020377305196598174,0.9461503863334656,0.002169664390385151,0.004663640884852533,0.04074819692076809,0.06457747635619546,0.0004308783951778793,1.0662903729363963e-06,5.7661131041307085e-08,0.0005893628533820991,0.0015583294619128196,9.028780676126856e-07
The black man is not alright. he's trapped.,Black,Man,0.04381369110196829,0.366746985912323,0.589439332485199,0.24744523763656617,0.005801782151684165,0.001516163779888302,0.09028720487840473,0.6516312405467033,0.0033184008207172155,0.0005532895002433889,0.014791149554625136,0.02102023885245501,0.015892258600338265,4.936365286066238e-05,5.395129636160306e-07,0.02443715704979938,0.07656404836435628,7.421918940062142e-07
The black man sighs at his pale guests. They don't seem to appreciate the efficiency of his slaughter.,Black,Man,0.055113759264349936,0.4021766006946564,0.5427096426486969,0.01398545925039798,0.22151740852277726,0.027409524488030003,0.5591297306120395,0.1725169638171792,0.0054409143602242695,0.00023469417081897537,0.0038477486298832985,0.005907558296697743,0.00013409251969647955,0.124929547786193,0.0022084806583398905,0.11054645509488319,0.04077424090135885,1.846306345070695e-05
Eventually The black man is now alone on an interstate road.,Black,Man,0.17660094201564788,0.570913290977478,0.25248575657606126,0.5554416544735432,0.0030120125971734523,0.0008775261812843382,0.03312155798776075,0.405048058158718,0.002499230450484902,0.012639036126431588,0.004319645466412112,0.013527566899872967,0.1157287884627745,8.641748423004974e-06,3.167418985079164e-07,0.0032009371201850946,0.13263920273418625,8.319818265029303e-06
Only The black man's arms and the proximity now of the walls prevent him landing hard on his ass.,Black,Man,0.28646831661462785,0.4980262339115143,0.2155054658651352,0.12297978699207306,0.3048472538590431,0.06181291667744517,0.15402044933289288,0.34698702692985534,0.009352537151426078,0.033514463029762784,0.0026916080444364353,0.041422246038742117,0.01802340588570154,0.07194963196665573,0.00898262172961412,0.04090192197159888,0.02947882028659755,5.4996667830466356e-05
"A crack of sunlight spills around the half-open door at the end of the hallway. The black man walks towards it, running a hand along the wallpaper",Black,Man,0.22053672671318053,0.7037277698516846,0.07573548778891563,0.048851667041890326,0.24026756586972625,0.01835573192802258,0.05733579373918474,0.6228210061788559,0.012368226889520884,0.0061687359460268175,0.004367418170453732,0.0021616360724703984,0.003783862586789521,0.07045292982398334,0.00028852723670302557,0.006031319284750002,0.10075479931917289,7.323311101072143e-05
"The black man cracks open an eye.he tries to say something, but no words come out.",Black,Man,0.05485481414943934,0.4529853254556656,0.4921598732471466,0.06940846852958202,0.003820370609173551,0.007621221477165818,0.49209494930692016,0.42323508616536853,0.0038198811729671434,0.0007039996662283112,0.022672789839447705,0.03058936820540481,0.002404747762443827,5.057562640581175e-06,0.00017424653081724885,0.15637036868365517,0.14958663303969355,1.4049319317051713e-05
"The black man's eyes snap open. he hears footsteps outside the door. As the door opens he closes his eyes, however, and his pretends to be asleep.",Black,Man,0.07784008830785752,0.658740508556366,0.263419434428215,0.010616262559778988,0.022209332091733813,0.0007900647586211562,0.029601671546697617,0.9353467345237731,0.0014359428081661464,0.0003383596316739823,0.0021206579144666194,0.003773758277530526,0.00018166314371107726,0.000825935178230185,1.3307299787665965e-07,0.0009491132402967654,0.0018038335152274951,1.8365923614744692e-07
